Name,Type,Rating,Rank,Description,Tags,NTags
"Welcome to Demon School, Iruma-kun 3","TV
(21 eps)","4.096 out of 5 from 3,101 votes",Rank #618,"The third season of Welcome to Demon School, Iruma-kun.","{'Supernatural', 'Demons', 'Person in a Strange World', 'School Life', 'Based on a Manga', 'Monster School', 'Shounen', 'Comedy'}",
One Piece: Episode of East Blue,"TV Special
(1 ep x 106 min)","4.096 out of 5 from 1,865 votes",Rank #620,"The Straw Hats are about to set sail on the Grand Line! Monkey D. Luffy, a rubber man; Roronoa Zoro aka “Pirate Hunter;” Usopp, a sniper; Sanji, a seafaring cook; and “Cat Burglar” Nami make their vows before their next journey across the great ocean!","{'Fantasy', 'Pirates', 'Superpowers', 'Based on a Manga', 'Shounen', 'Recap', 'Adventure'}",
My Love Story with Yamada-kun at Lv999,"TV
(13 eps)","4.095 out of 5 from 5,655 votes",Rank #625,"Akane Kinoshita, a female college student, faces the absolute worst situation when she ends up breaking up with her boyfriend after he has an affair with a woman he met playing an online game. While relieving her stress by rampaging through the open hunting grounds of an online game, Akane spills everything about her heartbreak to “Yamada”, a player she met by chance who happens to be in the same guild. “I don't care,” is his curt reply. But when Akane gets a makeover and joins an offline event to get back at her ex-boyfriend, she hears those dreadful words again. And that was Akane's fateful encounter with “Yamada”─！","{'Romance', 'Drama', 'MMORPG', 'Based on a Manga', 'Comedy'}",
Baki: Son of Ogre 2,"Web
(27 eps x 26 min)","4.094 out of 5 from 1,272 votes",Rank #629,Fourth season of Baki.,"{'Based on a Manga', 'Shounen', 'Action', 'Hand to Hand Combat', 'Sports', 'Martial Arts'}",{'Explicit Violence'}
Xingchen Bian 5th Season,"Web
(28 eps)",4.095 out of 5 from 57 votes,Rank #622,The fifth season of Xingchen Bian.,"{'Fantasy', 'Chinese Animation', 'CG Animation', 'Based on a Web Novel', 'Action', 'Xianxia'}",
The Ancient Magus' Bride Season 2: Part II,"TV
(12 eps)","4.103 out of 5 from 1,056 votes",Rank #595,The continuation of The Ancient Magus' Bride Season 2.,"{'Europe', 'Fantasy', 'Interspecies Relationship', 'Drama', 'Orphans', 'Based on a Manga', 'Non-Human Protagonists', 'Magic', 'England', 'Apprenticeship', 'Magic School', 'Contemporary Fantasy'}","{'Suicide', 'Physical Abuse,', 'Emotional Abuse,', 'Explicit Violence,', 'Mature Themes,'}"
Ace of the Diamond,"TV
(75 eps)","4.095 out of 5 from 6,372 votes",Rank #623,"I want to pitch to that mitt again... A meeting with catcher Kazuya Miyuki changed the 15-year-old Eijun Sawamura's life. He said goodbye to all his friends and knocked upon the door of Seidou, a prestigious baseball school, intent on testing his own strength. There, he met many proud baseball players who were betting everything on the sport! A classic tale, yet new and fresh.","{'Based on a Manga', 'Shounen', 'Tournaments', 'Baseball', 'Sports'}",
Classroom of the Elite,"TV
(12 eps)","4.094 out of 5 from 27,341 votes",Rank #627,"Ayanokouji Kiyotaka has just enrolled at Tokyo Koudo Ikusei Senior High School, where it's said that 100% of students go on to college or find employment. But he ends up in Class 1-D, which is full of all the school's problem children. What's more, every month, the school awards students points with a cash value of 100,000 yen, and the classes employ a laissez-faire policy in which talking, sleeping, and even sabotage are permitted during class. But among all the students who lead such self-indulgent lives, there is one who disagrees with it all and chooses to remain solitary, avoiding contact with others: the beautiful Horikita Suzune. She has figured out that, even though the school gives students huge amounts of money, it also offers many means of ""assistance for students with no money."" One month later, Ayanokouji, Horikita, and the students of Class D learn the truth of the system in place within their school...","{'Ecchi', 'Drama', 'Psychological', 'Boarding School', 'School Life', 'Mind Games', 'Based on a Light Novel'}",
GATE,"TV
(12 eps)","4.094 out of 5 from 25,074 votes",Rank #626,"On August 20XX, a gate suddenly appears in Tokyo's Ginza district, unleashing a portal where monsters, medieval knights and other fantasy beings come from another world and wreak havoc on Tokyo. The Japanese Defense Force take action against these monsters and push them back into the ""Gate"". Third Reconnaissance Team is dispatched to the ""Special Region"" lead by officer (and otaku) Youji Itami. On their travels, they are joined by a beautiful elf girl who is a survivor from the dragon's rampage and guide the group across the dangerous new world.","{'Reverse Isekai', 'Fantasy', 'Military', 'Political', 'Person in a Strange World', 'Isekai', 'Dragons', 'Guns', 'Action', 'Medieval', 'Adventure', 'Based on a Light Novel', 'War'}",{'Violence'}
The World God Only Knows: Goddesses Arc,"TV
(12 eps)","4.094 out of 5 from 10,974 votes",Rank #628,"After releasing fourteen girls from the grasps of runaway spirits by making them fall in love with him, Keima has proven himself to be the Capturing God of both the 2D and 3D worlds! But a new challenge awaits as Diana, the goddess possessing Keima's neighbor Tenri, tasks him to find her siblings, and his only clue to their whereabouts resides with past conquests who still retain their memories. Now Keima is on the hunt in hopes that these divine beings might finally release him from his contract with Hell. But with the shadowy organization known as Vintage out to kill these girls, it becomes a race against time to put a stop to their plans and restore these goddesses to their former power!","{'Romance', 'Fantasy', 'Demons', 'School Life', 'Based on a Manga', 'Otaku Culture', 'Shounen', 'Comedy'}",
That Time I Got Reincarnated as a Slime Movie: Scarlet Bond,"Movie
(1 ep x 110 min)","4.095 out of 5 from 3,456 votes",Rank #624,"A long-running conspiracy is swirling over a mysterious power wielded by the Queen in Raja, a small country west of Tempest. When a slime who evolved into a Demon Lord named Rimuru Tempest crosses paths with Hiiro, a survivor of the Ogre race, an incredible adventure packed with new characters begins. The power of bonds will be put to the test!","{'Slimes', 'Fantasy', 'Political', 'Demons', 'Monsters', 'Person in a Strange World', 'Kingdom Building', 'Game Elements', 'Based on a Manga', 'Isekai', 'Magic', 'Shounen', 'Action', 'Reincarnation'}",{'Violence'}
Teasing Master Takagi-san 2,"TV
(12 eps)","4.094 out of 5 from 4,351 votes",Rank #630,"Now in his second year of middle school, Nishikata still tries to outplay Takagi, but continues to fail miserably at his quest to get even.","{'Romance', 'Iyashikei', 'School Life', 'Based on a Manga', 'Shounen', 'Slice of Life', 'Comedy'}",
Yong Sheng: Shi Nian Zhi Yue,"Web
(12 eps x 24 min)",4.092 out of 5 from 33 votes,Rank #632,The second season of Immortality.,"{'Fantasy', 'Chinese Animation', 'CG Animation', 'Historical', 'Based on a Novel', 'Action', 'Martial Arts', 'Cultivation'}",
Fullmetal Alchemist: Brotherhood Specials,"DVD Special
(4 eps)","4.092 out of 5 from 7,853 votes",Rank #631,"While on their travels, Edward and Alphonse Elric hear rumors of an alchemist named Judau who has succeeded in human transmutation. Thinking that it may help them regain their former bodies the pair visits him, but can this blind alchemist really help them in their quest? Also, one day, before the appearance of the homunculus, Ed and Al return home to Resembool to get Ed’s automail repaired. Fearing Winry’s retribution for breaking her handiwork yet again, the brothers find a novel way to prevent themselves from being attacked...","{'Fantasy', 'Drama', 'Comedy', 'Based on a Manga', 'Shounen', 'Siblings', 'Action'}",
Fanren Xiu Xian Chuan: Mo Dao Zheng Feng,"Web
(25 eps)",4.092 out of 5 from 104 votes,Rank #633,The second arc of A Mortal's Journey: The Beginning.,"{'Fantasy', 'Chinese Animation', 'CG Animation', 'Action', 'Adventure', 'Cultivation'}",
Little Busters! Refrain,"TV
(13 eps)","4.091 out of 5 from 3,785 votes",Rank #635,"The Little Busters may have completed their baseball team, but the game isn’t over yet as Riki discovers that they are reliving the same day over and over again. As Riki sets out to unravel the cause of one strange occurrence, he stumbles upon many more as he grows closer to learning the reason behind his narcolepsy and the secrets of the world. But the closer Riki grows to the truth, the further the Little Busters drift apart as the mystery of their world begins to unravel.","{'Romance', 'Drama', 'Supernatural', 'Based on an Eroge', 'Based on a Visual Novel', 'School Life'}",
My Love Story!!,"TV
(24 eps)","4.091 out of 5 from 15,853 votes",Rank #636,"Takeo Gouda is a giant guy with a giant heart. Too bad the girls don't want him (they want his good-looking best friend, Sunakawa)! Used to being on the sidelines, Takeo simply stands tall and accepts his fate. But one day when he saves a girl named Yamato from a harasser on the train, his (love!) life suddenly takes an incredible turn!","{'Romance', 'Drama', 'Based on a Manga', 'Comedy', 'Shoujo'}",
Golden Kamuy Season 4,"TV
(13 eps)",4.09 out of 5 from 923 votes,Rank #637,The fourth season of Golden Kamuy.,"{'Seinen', 'Drama', 'Military', 'Historical', 'Based on a Manga', 'Hokkaido', 'Treasure Hunters', 'Adventure'}",
Durarara!! X2 The Second Arc,"TV
(12 eps)","4.09 out of 5 from 9,275 votes",Rank #638,"Ikebukuro, a city teeming with the most peculiar characters and the twisted schemes they indulge in—. In the aftermath of the assault against the information broker, signs of new disorder begin to develop like ripples across the water. Holding his own ideals, the young man who gains the powers of both the “Dollars” and the “Blue Squares” treads the path to total annihilation. Someone struggles to save their best friend while a psychopath creeps up on a popular idol. Slowly but surely a new threat gains power within the city’s shadows…","{'Gangs', 'Supernatural', 'Social Media', 'Comedy', 'Action', 'Noir', 'Based on a Light Novel'}","{'Mature Themes,', 'Violence'}"
Tsukimonogatari,"TV Special
(4 eps x 27 min)","4.089 out of 5 from 6,277 votes",Rank #639,"One day in February, Koyomi Araragi was taking a bath with his younger sister Tsukihi amidst finishing his studies for the college entrance exam. This was also following the incident involving Nadeko Sengoku, which was successfully amended behind the scenes by Deishu Kaiki. Koyomi noticed a change on his body “that could not be overlooked” and sought advice from Shinobu Oshino leading him to contact Yoduru Kagenui and Yotsugi Ononoki. Was this change signifying retribution for everything that Koyomi has done?!","{'Ecchi', 'Supernatural', 'Vampires', 'Comedy', 'Mystery', 'Based on a Light Novel'}",
Magi: Adventure of Sinbad OVA,"OVA
(5 eps x 25 min)","4.089 out of 5 from 5,196 votes",Rank #640,The story takes place 30 years before the events of Magi. In this age will focus on the journey that Sinbad have to make to become king and many adventure more.,"{'Fantasy', 'Dungeon', 'Orphans', 'Overpowered Main Characters', 'Comedy', 'Middle Eastern', 'Based on a Manga', 'Magic', 'Shounen', 'Action', 'Adventure', 'Genies'}",
Silver Spoon,"TV
(11 eps)","4.088 out of 5 from 8,285 votes",Rank #644,"When Yuugo Hachiken enrolled at Ezonoo, an agricultural high school, he had no idea what he was getting himself into. While his classmates revel in the barnyard chores and hard labor, eager to gain skills for their careers, Yuugo is challenged and sometimes downright horrified by the things he’s having to learn, whether he’s corralling stray cows, learning the shocking truth of where chicken eggs come from, or even getting comfortable with riding a horse! Alongside peers such as the lovely Aki, Yuugo will learn all he can about agriculture, making close friends in the process.","{'noitaminA', 'Lifestyle Change', 'Agriculture', 'School Life', 'Based on a Manga', 'Hokkaido', 'Shounen', 'Slice of Life', 'Coming of Age', 'Comedy'}",
Tokyo Magnitude 8.0,"TV
(11 eps)","4.088 out of 5 from 8,773 votes",Rank #646,"It struck without warning one fateful day in Tokyo – a massive 8.0 earthquake rocked the city and caused massive devastation and death in its wake. Having taken her little brother to an exhibit that day, young Mirai and he find themselves alone and with no one to turn to – until a kind delivery woman named Mari promises to help them get back to their family. Now, the three travel the ruined cityscape and brave immense danger as they try their best to make their way home.","{'Child Protagonists', 'Earthquake', 'Drama', 'noitaminA', 'Natural Disaster', 'Melancholy', 'Survival', 'Siblings', 'Original Work'}",
xxxHOLiC Shunmuki,"OVA
(2 eps)","4.089 out of 5 from 4,344 votes",Rank #643,"Following his near-fatal accident, Watanuki is returning to his normal routine of working at Yuuko's shop and arguing with Doumeki. However several people had to pay the price for saving him that day, and he is determined to show them all his gratitude - including Doumeki's deceased grandfather, Haruka. Unsure of how to repay someone who is no longer part of this world, Watanuki promises Haruka that he will find five items for him. Beginning the search, he meets Doumeki at his grandfather's old warehouse where the first item, an old storybook, is stored. As Watanuki reaches out for the book, he unwillingly brings the tale to life; and when the pair finds themselves running for their lives it becomes clear that fulfilling Haruka's task will be nowhere near as simple as they thought.","{'Seinen', 'Supernatural', 'Crossover', 'Based on a Manga', 'Japanese Mythology', 'Comedy'}",
Sekai-ichi Hatsukoi: World's Greatest First Love OVA,"OVA
(2 eps)","4.088 out of 5 from 5,882 votes",Rank #645,"Ritsu Onodera has been admiring a classmate from afar for some time, even noticing when the boy rescues an abandoned kitten on the street. Things change, however, when the two bump into each other at the library one day and Ritsu confesses his feelings. What will become of this budding first love?","{'Romance', 'BL', 'Romantic Comedy', 'School Life', 'Based on a Manga', 'Shounen-ai', 'Comedy'}",
The Tale of the Princess Kaguya,"Movie
(1 ep x 137 min)","4.089 out of 5 from 6,466 votes",Rank #641,"In an idyllic rural setting an old bamboo cutter and his wife raise a tiny girl found nestled within a glowing bamboo stalk along with a fortune in gold. As she approaches adulthood the bamboo cutter uses the fortune to purchase a villa in the capital, buy himself a title and employ tutors to transform the country girl—now given the name Kaguya—into a refined woman. News of her beauty brings powerful and wealthy suitors who compete for her hand in marriage, culminating in a proposal from the emperor. All the while Kaguya wishes that she and her family could return to their former life and to be reunited with her sweetheart, Sutemaru. Sooner or later, though, her true origins will make their own claim upon her.","{'Fantasy', 'Royalty', 'Historical', 'Japanese Mythology', 'Coming of Age', 'Feudal Japan'}",
Chainsaw Man PV,"Web
(1 ep x 2 min)",4.086 out of 5 from 527 votes,Rank #656,A promotional video for the anime Chainsaw Man.,"{'Fantasy', 'Demons', 'Promotional', 'Based on a Manga', 'Horror', 'Dark Fantasy', 'Shounen', 'Action'}",{'Violence'}
Bungo Stray Dogs: Walking Alone,"OVA
(1 ep x 24 min)","4.088 out of 5 from 5,415 votes",Rank #649,No synopsis yet - check back soon!,"{'Seinen', 'Supernatural', 'Detectives', 'Superpowers', 'Based on a Manga', 'Terrorism', 'Action'}",
Ghost in the Shell: Stand Alone Complex - Individual Eleven,"Movie
(1 ep x 163 min)","4.087 out of 5 from 4,101 votes",Rank #651,"Recently, a number of terrorist attacks have plagued the city: an attack on the Chinese embassy, a bombing, a shooting of a famous cyber rapper and the murder of a bank president to name a few. Each crime is claimed by a different terrorist group, each calling itself the Individual Eleven. Section 9 is on the case, and they have one suspect in mind: Hideo Kuze, a man who attempted to assassinate the Prime Minister. With time running out, Section 9 will do whatever it takes to discover the identity of Individual Eleven and the truth behind these connected events before more innocent lives are taken...","{'Cyborgs', 'Based on a Manga', 'Hacking', 'Sci Fi', 'Noir', 'Cyberpunk'}",
Puella Magi Madoka Magica the Movie Part 1: Beginnings,"Movie
(1 ep x 131 min)","4.088 out of 5 from 5,406 votes",Rank #648,"One day, a girl named Homura arrives at Mitakihara Middle School as a transfer student, mysteriously warning her classmate Madoka to stay just the way she is. But when Madoka and her best friend Miki are pulled into a twisted illusion world and meet a magical creature named Kyubey, the pair discovers that magical girls are real, and what's more, they can choose to become one. All they must do is sign a contract with Kyubey and agree to fight witches that spread despair to the human world, and in return they will be granted a single wish. However, as Homura's omen suggests, there's far more to becoming a magical girl than Madoka and Miki realize...","{'Fantasy', 'Magical Girl', 'Psychological', 'Melancholy', 'School Life', 'Urban Fantasy', 'Magic', 'Dark Fantasy', 'Recap', 'Thriller', 'Contemporary Fantasy'}","{'Suicide', 'Mature Themes,'}"
Working!!!,"TV
(13 eps)","4.088 out of 5 from 6,181 votes",Rank #650,Third season of Working!!,"{'Romance', 'Androphobia', 'Seinen', 'Work Life', 'Based on a Manga', 'Restaurants', 'Based on a 4-Koma Manga', 'Slice of Life', 'Coworkers', 'Comedy'}",
"Welcome to Demon School, Iruma-kun","TV
(23 eps)","4.087 out of 5 from 12,533 votes",Rank #652,"Suzuki Iruma, human, 14, one day finds himself taken against his will into the world of demons. To add to his predicament, his doting owner and self-appointed ""Grandpa"" is the chair-demon at his new school. In order to survive, Iruma must deal with a haughty student who challenges him to a duel, a girl with adjustment issues, and so many more scary beings! Can this ultimate pacifist dodge the slings and arrows that are flung his way? As he struggles frantically, Iruma's innate kindness begins to win over enemies.","{'Supernatural', 'Demons', 'Person in a Strange World', 'School Life', 'Based on a Manga', 'Monster School', 'Shounen', 'Comedy'}",
JoJo's Bizarre Adventure (2012),"TV
(26 eps)","4.086 out of 5 from 27,610 votes",Rank #653,"When Jonathan Joestar was just a baby, his mother tragically died in a carriage accident, and his father George was saved by the kindness of a stranger, Dario Brando. At least, that's what George believed, unbeknownst to him that Dario was just attempting to steal from the victims. Thus, when Dario later dies and his son, Dio, comes to his doorstep, the wealthy George eagerly adopts the boy. But what should have become a budding friendship between two siblings quickly becomes a nightmare for poor Jonathan, as Dio is cruel, calculating and will go to great lengths to become George's primary heir. Little does Jonathan know that this unfortunate childhood is only the harbinger of things to come...","{'Supernatural', 'Based on a Manga', 'Shounen', 'Action', 'Hand to Hand Combat'}","{'Animal Abuse,', 'Explicit Violence,', 'Mature Themes'}"
Yaoshenji 3rd Season,"Web
(40 eps x 7 min)",4.086 out of 5 from 562 votes,Rank #657,The third season of Yaoshenji.,"{'Short Episodes', 'Fantasy', 'Chinese Animation', 'CG Animation', 'Based on a Web Novel', 'Action', 'Martial Arts', 'Xianxia', 'Cultivation'}",
Link Click: Marrying by Contesting,"Web
(1 ep)","4.085 out of 5 from 1,067 votes",Rank #660,"In order to marry Ouyang, the daughter of the master of martial arts, Siwen commissioned the Time Photo Studio to help him crack the master's unique martial arts.","{'Fantasy', 'Time Travel', 'Chinese Animation', 'Urban Fantasy', 'Contemporary Fantasy'}",
Xingchen Bian,"Web
(12 eps x 24 min)",4.086 out of 5 from 514 votes,Rank #654,"In a galaxy far away, there is a kid without innate inability to practice internal techniques. So, in order to gain the respect of his father, he resolutely chooses to follow the more difficult and painful path of practicing external techniques. As the years go by, he grows up, but what really changes his life is a mysterious meteoric crystal stone -- the Meteoric Tear. This stone fuses with the young man's body unnoticed, and he seems to undergo drastic transformations as a result. After that, everything is changed. Eventually his father knows that the son for whom he hasn't really shown a lot of consideration possesses astonishing abilities. And there's a lot more to come.","{'Fantasy', 'Chinese Animation', 'CG Animation', 'Based on a Web Novel', 'Action', 'Xianxia', 'Cultivation'}",
Mobile Suit Gundam: Iron-Blooded Orphans,"TV
(25 eps)","4.085 out of 5 from 5,886 votes",Rank #659,"The Earth Sphere had lost its previous governing structure, and a new world was created under new systems of government. While a temporary peace had arrived, the seeds of a new conflict were being sown in the Mars Sphere, far away from Earth.","{'Drama', 'Mecha', 'Sci Fi', 'Real Robot', 'Mars', 'Outer Space', 'Original Work'}",
Jujutsu Kaisen (2018),"Web
(3 eps x 2 min)",4.091 out of 5 from 700 votes,Rank #634,No synopsis yet - check back soon!,"{'Short Episodes', 'Promotional', 'Based on a Manga'}",
KonoSuba – God’s blessing on this wonderful world! 2 OVA,"OVA
(1 ep x 28 min)","4.085 out of 5 from 8,566 votes",Rank #661,"After returning from Arcanretia and defeating one of the Devil King's generals, Hans, Kazuma is able to cash in the reward and live a stress-free life of luxurious laziness. One day, at the guild hall, he runs into a newbie adventurer named Ran who idolizes him for his exploits, and wants to shake his hand. While Kazuma smugly indulges his new fan, Luna, the guild's receptionist, assigns him a golem extermination quest. Not wanting to look bad in front of his admirer, Kazuma ends up accepting the task, and heads to the ruins with Aqua, Megumin, and Darkness in tow.","{'Fantasy', 'Parody', 'Gods', 'Person in a Strange World', 'Game Elements', 'Gag', 'Isekai', 'Magic', 'Non-Human Protagonists', 'NEET', 'Guilds', 'Comedy', 'Based on a Light Novel'}",
A Certain Scientific Railgun T,"TV
(25 eps)","4.085 out of 5 from 2,919 votes",Rank #658,"Mikoto Misaka and her friends prepare for the Daihasei Festival, a seven-day athletic competition between esper schools. Academy City opens to the public for the event, but with the whole town abuzz, no one notices when trouble stirs behind the scenes.","{'Psychic Powers', 'Supernatural', 'Superpowers', 'Elemental Powers', 'Based on a Manga', 'Action', 'Sci Fi'}",
The Secret World of Arrietty,"Movie
(1 ep x 94 min)","4.084 out of 5 from 18,046 votes",Rank #662,"For nearly fourteen years, Arrietty has lived with her parents under the floorboards of a house. As 'tiny people', the family must remain hidden from humans, 'borrowing' items from them such as postage stamps or herbs to cook with. Arrietty is old enough to borrow for the first time, and alongside her father, the two explore the house in search of tissue and sugar. But when the pair is spotted by Sho, a boy who is visiting his great aunt, Arrietty's parents fear for their safety. However, unlike her family, Arrietty is convinced that not all humans are dangerous, and together she and Sho form an unlikely friendship.","{'Based on a Novel', 'Fantasy', 'Family Friendly', 'Contemporary Fantasy'}",
Moribito: Guardian of the Spirit,"TV
(26 eps)","4.084 out of 5 from 10,687 votes",Rank #663,"In the feudal kingdom of Yogo, a dark secret is threatening its proud imperial family, and the Emperor intends to destroy it before it leaks out. Unfortunately this dark secret resides within his son, the young and innocent Second Prince Chagum. Enter Balsa, a wandering warrior who has sworn to save eight lives in penance for those she has taken during her violent career. Upon accepting her role as protector to Chagum, her eighth and final job, the two begin a perilous journey that tests not only their physical endurance and mental resolve, but also the tentative relationship they build along the way. Will Balsa fulfill her penance and protect Chagum as he seeks to understand the nature of his secret? Or will the Emperor's relentless assassins and other powerful enemies get them first?","{'Fantasy', 'Political', 'Drama', 'Royalty', 'Environmental', 'Based on a Novel', 'Bodyguards', 'Action', 'Mystery'}",
Fanren Xiu Xian Chuan: Zai Bie Tian Nan,"Web
(14 eps)",4.084 out of 5 from 86 votes,Rank #665,The third arc of A Mortal's Journey: The Beginning.,"{'Fantasy', 'Chinese Animation', 'CG Animation', 'Action', 'Adventure', 'Cultivation'}",
Blue Spring Ride: Page.13,"OVA
(1 ep x 22 min)","4.084 out of 5 from 3,545 votes",Rank #664,No synopsis yet - check back soon!,"{'Romance', 'Shoujo', 'Drama', 'Based on a Manga'}",
Tsurune: The Linking Shot,"TV
(13 eps)",4.082 out of 5 from 617 votes,Rank #674,"Protagonist Minato Narumiya has reignited his passion for kyudo, the Japanese martial art of archery. Along with his friends in the school kyudo club, he returns for an all-new second season of Kyoto Animation’s beloved Tsurune.","{'Archery', 'School Life', 'School Club', 'Tournaments', 'Sports', 'Based on a Light Novel'}",
Carole & Tuesday,"TV
(24 eps)","4.083 out of 5 from 5,791 votes",Rank #666,"Fifty years have passed since mankind began migrating to the new frontier: Mars. It's an age where most culture is produced by AI, and people are content to be passive consumers. There's a girl scraping a living in the metropolis of Alba City, she's working part-time while trying to become a musician. She's always felt like something is missing. Her name is Carole. There's another girl. Born to a wealthy family in the provincial town of Herschel City, she dreams of becoming a musician, but nobody around her understands. She feels like the loneliest person in the world. Her name is Tuesday. A chance meeting brings them together.","{'Drama', 'Mars', 'Music', 'Sci Fi', 'Original Work'}",
Slam Dunk,"TV
(101 eps)","4.083 out of 5 from 6,499 votes",Rank #667,"Sakuragi has hit an all-time low. During his last year of junior high school, fifty different girls rejected him, the last one choosing a basketball player instead. Thus it’s no surprise that in high school, Sakuragi beats up anyone who dares utter the name of the sport. However, it’s not long until he meets Haruko, a beautiful basketball enthusiast, and is determined to make her fall in love with him – even signing up for the school team to accomplish his goal. However, winning Haruko’s heart won’t be easy, as her brother is the strict and protective captain of the basketball team and Haruko’s eyes are focused on Sakuragi’s rival, the talented Rukawa. Can Sakuragi give up his delinquent ways to help get the team to Nationals, or will his temper get him kicked out before he can learn to dribble the ball?","{'Weak to Strong', 'Delinquents', 'Drama', 'Basketball', 'Comedy', 'School Life', 'Based on a Manga', 'School Club', 'Shounen', 'Action', 'Tournaments', 'Sports'}","{'Physical Abuse', 'Bullying,', 'Mature Themes,'}"
Bakemonogatari,"TV
(15 eps)","4.083 out of 5 from 33,480 votes",Rank #668,"Koyomi Araragi is an aloof boy who holds a strange, supernatural secret which inadvertently leads him to others with similar stories. Gods, spirits and afflictions can be pesky things, taking important memories or causing unusual tendencies – a fact that Koyomi and others are unfortunately aware of. Using the help of an eccentric homeless man, Koyomi is able to help new friends he meets along the way with their own paranormal conundrums…","{'Ecchi', 'Romance', 'Drama', 'Supernatural', 'Tsundere', 'Comedy', 'Action', 'Mystery', 'Based on a Light Novel'}","{'Nudity', 'Explicit Violence,'}"
Broken Blade Movie 4: The Land of Calamity,"Movie
(1 ep x 49 min)","4.083 out of 5 from 5,281 votes",Rank #672,"While the forces of Athens retreat, Krishna prepares for a counterattack. Meanwhile, Rygart is ambushed when he returns home to check on his brother.","{'Fantasy', 'Military', 'Mecha', 'Magic', 'Action', 'War'}",{'Violence'}
March Comes in like a Lion,"TV
(22 eps)","4.083 out of 5 from 8,958 votes",Rank #670,"Rei Kiriyama is a 17-year-old professional shogi player who suffers from anxiety, depression, and loneliness. Unwanted by his relatives after he loses his family in an accident, and resented by his adopted family's children, Rei moves into his own apartment in Tokyo to avoid inconveniencing others. He uses his talent at shogi to earn a living, but doesn't take care of himself, and is reluctant to ask others for help. Soon after his arrival, the boy meets the Kawamoto family: a trio of sisters and their grandfather who run a traditional Japanese pastry shop. They too have dealt with pain and loss, but their warmth and loving-kindness are balm for Rei's anguished spirit.","{'Seinen', 'Drama', 'Orphans', 'Board Games', 'Lifestyle Change', 'Psychological', 'Melancholy', 'Shogi', 'Based on a Manga', 'Mental Illness', 'Slice of Life', 'Coming of Age', 'Loneliness', 'Death of a Loved One'}",
No Doubt In Us: Part II,"Web
(12 eps x 14 min)",4.089 out of 5 from 289 votes,Rank #642,The second part of No Doubt In Us.,"{'Romance', 'Political', 'Royalty', 'Chinese Animation', 'CG Animation', 'Chibi', 'Body Swapping', 'Ancient China', 'Gender Bender', 'Based on a Webtoon', 'Comedy', 'Married Life', 'War'}",
TONIKAWA: Over the Moon for You,"TV
(12 eps)","4.083 out of 5 from 10,067 votes",Rank #669,"Nasa Yuzaki falls in love at first sight after an encounter with the mysterious Tsukasa. When Nasa earnestly confesses his feelings, she replies, ""I'll date you, but only if we're married."" Nasa and Tsukasa's cute and precious newlywed life of love is about to begin!","{'Sudden Girlfriend Appearance', 'Romance', 'Mature Romance', 'Romantic Comedy', 'Iyashikei', 'Based on a Manga', 'Shounen', 'Comedy', 'Married Life'}",{'Violence'}
My Roommate is a Cat,"TV
(12 eps)","4.082 out of 5 from 6,238 votes",Rank #675,"The story of Mikazuki Subaru, a novelist who is shy and struggles in relationships with other people, and a cat who was dumped by humans and lived a tough life on the streets. Through a twist of fate, the two of them end up living together. This heartwarming tale illustrates day-to-day life through the eyes of both man and cat. These moments seem trivial, but as they build upon themselves, the two become family and find happiness in their life together.","{'Pets', 'Iyashikei', 'Based on a Manga', 'Cats', 'Non-Human Protagonists', 'Slice of Life', 'Animal Protagonists', 'Comedy', 'Writers'}",
Junjou Romantica OVA 2,"OVA
(1 ep x 20 min)","4.082 out of 5 from 1,742 votes",Rank #679,No synopsis yet - check back soon!,"{'Romance', 'Age Gap', 'Drama', 'LGBT Themes', 'BL', 'Romantic Comedy', 'Yaoi Hand Syndrome', 'Based on a Manga', 'Shounen-ai', 'Comedy'}",
Fanren Xiu Xian Chuan: Chu Ru Xing Hai,"Web
(12 eps)",4.082 out of 5 from 64 votes,Rank #673,The fourth arc of A Mortal's Journey: The Beginning.,"{'Fantasy', 'Chinese Animation', 'CG Animation', 'Action', 'Adventure', 'Cultivation'}",
Tokyo Revengers: Seiya Kessen-hen,"TV
(13 eps)","4.082 out of 5 from 3,339 votes",Rank #678,The second season of Tokyo Revengers.,"{'Delinquents', 'Drama', 'Gangs', 'Time Travel', 'Based on a Manga', 'Shounen', 'Action'}","{'Animal Abuse,', 'Mature Themes,', 'Violence'}"
Hinamatsuri,"TV
(12 eps)","4.081 out of 5 from 9,476 votes",Rank #681,"Nitta Yoshifumi, a young, intellectual yakuza, lived surrounded by his beloved pots in his turf in Ashikawa. But one day, a girl, Hina, arrives in a strange object, and uses her telekinetic powers to force Nitta to allow her to live with him, putting an end to his leisurely lifestyle. Hina tends to lose control of herself, wreaking havoc both at school and in Nitta's organization. Though troubled, he finds himself taking care of her. What will become of this strange arrangement? It's the beginning of the dangerous and lively story of a nice-guy outlaw and psychokinetic girl!","{'Reverse Isekai', 'Yakuza', 'Seinen', 'Psychic Powers', 'Gangs', 'Lifestyle Change', 'Person in a Strange World', 'Superpowers', 'Iyashikei', 'Based on a Manga', 'Slice of Life', 'Comedy', 'Sci Fi', 'Childcare'}",
